,Department,Course,Credit Hours,Lecture Hours,Lab Hours,Grade Mode,Description
0,Accounting (ACC),ACC 2301. Accounting in Organizations and Society.,3,3,0,Standard Letter,"Introductory accounting course for non-business majors. Describes the role of accounting as an information system essential for the operation of today’s organizations. Focus is on (1) how data is captured and processed to provide information for decision-making, and (2) how the information provided can be used for decision-making."
1,Accounting (ACC),ACC 2325. Financial Analysis and Accounting.,3,3,0,Credit/No Credit,A study of financial statement analysis and overview of financial statements.
2,Accounting (ACC),ACC 2361. Introduction to Financial Accounting.,3,3,0,Standard Letter,"This course introduces financial accounting concepts and their application in the accounting process for business organizations, including financial statement preparation, analysis and communication of financial information and related ethical responsibilities. Prerequisite: MATH 1315 or MATH 1319 or MATH 1329 or MATH 2321 or MATH 2331 or MATH 2417 or MATH 2471 or HON 3391 or ACT Mathematics score of 27 or better or SAT Mathematics score of 580 or better or SAT Math Section Score 600-800."
3,Accounting (ACC),ACC 2362. Introduction to Managerial Accounting.,3,3,0,Standard Letter,"This course provides an introduction to the use of accounting information as an aid to management decision making and budgeting.  Students will gain an appreciation of control processes and an understanding of accounting reports and related ethical responsibilities.  Prerequisites: ACC 2361 and (MATH 1315 or MATH 1319 or MATH 1329 or MATH 2321 or MATH 2331 or  or MATH 2417 or MATH 2471 or HON 3391); both with a grade of ""D"" or better."
4,Accounting (ACC),ACC 3305. Financial Accounting and Reporting.,3,3,0,Standard Letter,This course expands upon financial accounting concepts introduced in ACC 2361 by emphasizing the use of financial accounting principles to prepare and analyze an organization’s financial statements and provides an in-depth study of the accounting cycle. Prerequisites: ACC 2361 with a grade of “C” or better and a minimum 2.0 Overall GPA.
5,Accounting (ACC),ACC 3313. Intermediate Accounting I.,3,3,0,Standard Letter,An in-depth study of financial accounting concepts and standards with emphasis on current theory and practices relating to corporate financial statements particularly stressing elements of the balance sheet. Prerequisite: ACC 3305 with a grade of “B” or better and a minimum 2.0 Overall GPA.
6,Accounting (ACC),ACC 3314. Intermediate Accounting II.,3,3,0,Standard Letter,This course is a continuation of ACC 3313 and provides an in-depth study of advanced financial accounting topics. Prerequisite: ACC 3313 with a grade of “B” or better and a minimum 2.0 Overall GPA.
7,Accounting (ACC),ACC 3363. Governmental Accounting.,3,3,0,Standard Letter,"A study of concepts and techniques of fund accounting, and financial reporting for governmental and not-for-profit organizations including state and local government, universities, hospitals, and other public sector entities. Prerequisite: ACC 3313 with a grade of “B” or better."
8,Accounting (ACC),ACC 3365. Cost/Managerial Accounting.,3,3,0,Standard Letter,"The study of cost/management accounting within the manufacturing and merchandising environment. Includes the analysis of cost accumulation, planning, and control within the organization. Specific topics emphasized are job order and process costing; standard costing, standard costing and variance analysis; absorption and direct costing; budgetary procedures; cost/volume profit analysis; and capital budgeting techniques. Prerequisite: ACC 2362 with a grade of ""C"" or better and [QMST 2333 or MATH 2328] with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
9,Accounting (ACC),ACC 3385. Accounting Systems.,3,3,0,Standard Letter,"A study of elements of theory, procedures, and practice relating to system design and implementation for manual and computerized accounting information systems. Emphasis placed on system selection, data entry, file structure, internal control implementation, and report generation for various information end-users. Prerequisite: ACC 3305 or ACC 3313 with a grade of ""B"" or better and CIS 3380 with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
10,Accounting (ACC),ACC 4313. Auditing and Internal Controls.,3,3,0,Standard Letter,"This course provides a study of the theory and practices relating to auditing. The course emphasizes the procedures used to evaluate the effectiveness of risk management and control processes, including prevention and detection of fraud. Prerequisite: ACC 3385 with a grade of “C” or better and a minimum 2.0 Overall GPA."
11,Accounting (ACC),ACC 4328. Survey of Income Tax.,3,3,0,Standard Letter,"An introduction to Federal income tax provisions, concepts and issues concerning individuals, business and property transactions. The coursework focuses on income and expense recognition as well as tax planning opportunities. Prerequisite: ACC 3305 with a grade of ""C"" or better or ACC 3313 with a grade of ""D"" or better and a minimum 2.0 Overall GPA."
12,Accounting (ACC),ACC 4390A. International Accounting.,3,3,0,Standard Letter,"This course introduces students to accounting issues unique to multinational enterprises and international business activity. Financial accounting practices are compared across different countries. The development of international accounting standards is also explored. (MULT) Prerequisite: ACC 3313 with a grade of ""C"" or better."
13,Accounting (ACC),ACC 5315. Selected Topics in Financial Accounting.,3,3,0,Standard Letter,"The study of specialized financial accounting topics, existing and prospective, necessary for an advanced understanding of financial reporting. Topics include: pensions and post-retirement benefits, deferred taxes, derivatives, share-based payments, interim and segment reporting and emerging issues of the Emerging Issues Task Force. Prerequisite: ACC 3314 with a grade of “B” or better."
14,Accounting (ACC),ACC 5316. Advanced Accounting.,3,3,0,Standard Letter,"A study of accounting for business combinations and consolidated financial statements. Additional selected topics may include accounting for multinational operations, interim reporting, SEC reporting, partnership and governmental and not-forprofit accounting. Prerequisite: ACC 3314 with a grade of “B” or better."
15,Accounting (ACC),ACC 5320. Auditing.,3,3,0,Standard Letter,"A study of the underlying theory of external financial auditing including professional ethics, auditing standards and procedures, and the role of auditor’s judgment. (Suggested for CPA eligibility). Prerequisites: ACC 3314 and ACC 4313 both with grades of “B” or better."
16,Accounting (ACC),ACC 5340. Individual Income Tax.,3,3,0,Standard Letter,"A study of the tax concepts and issues involved in an individual’s employment and personal life, and in sole proprietorships, property transactions, tax administration and tax practice. Regulatory and ethical issues are incorporated into the discussion. This course may not count as an elective in any master's program in the McCoy College of Business. Prerequisite: ACC 3313 with a grade of “B” or better."
17,Accounting (ACC),ACC 5350. Professional Accounting Research.,3,3,0,Standard Letter,"This course provides a study of the sources of authoritative standards in financial accounting. The course develops procedures for identifying the applicable accounting issues, locating appropriate authority, and communicating the results of professional research. Prerequisite: ACC 3314 with a grade of “B” or better."
18,Accounting (ACC),ACC 5352. Financial Statement Reporting and Analysis.,3,3,0,Standard Letter,"A study of financial statement reporting and analysis. Use of tools and skills will be used to analyze and interpret financial reports for assessing financial performance of firms to facilitate investment, lending, and other financial decisions in a variety of business contexts. Prerequisite: ACC 3305 or ACC 5361 either with a grade of ""B"" or better."
19,Accounting (ACC),ACC 5355. IT Auditing.,3,3,0,Standard Letter,"A study of the IT audit: The process of collecting and evaluating evidence of IT system practices and operations. The course develops understanding of the procedures to test whether the systems are safeguarding assets, maintaining data security and operating effectively and efficiently. Prerequisite: ACC 3305 with a grade of ""B"" or better."
20,Accounting (ACC),ACC 5357. Regulation and Professionalism.,3,3,0,Standard Letter,"This course will cover the professional and legal responsibilities and liabilities of the accounting profession and tax preparers; the commercial law applicable to business transactions; and the legal structure of business organizations.  It will also provide a basic overview of corporate and partnership taxation, focusing on current topics and developments.  Prerequisites: ACC 3313 and ACC 3314 both with a grade of ""B"" or better and ACC 4328 with a grade of ""D"" or better."
21,Accounting (ACC),ACC 5361. Accounting Analysis for Managerial Decision Making.,3,3,0,Standard Letter,"Use of accounting information for improving managerial decision making. Emphasis is on understanding the practice of business management, budgeting, cost behavior, and operational, internal, and management control. Prerequisite: B A 5352 with a grade of ""C"" or better."
22,Accounting (ACC),ACC 5362. Cost and Managerial Accounting Theory.,3,3,0,Standard Letter,A study of recent developments and topics in the area of cost and managerial accounting. Includes a discussion of quantitative techniques and their applicability to accounting problems. Prerequisites: ACC 3365 or ACC 5361 either with a grade of “B” or better.
23,Accounting (ACC),ACC 5366. Business Entity Taxation.,3,3,0,Standard Letter,"Federal income tax provisions affecting business decisions, with an emphasis on C Corporations, Limited Liability Companies, and Partnerships. An introduction to the choice, formation, organization, operation and distribution rules or the preceding business entities. Prerequisites: ACC 3314 and ACC 4328 both with grades of ""B"" or better."
24,Accounting (ACC),ACC 5369. Special Studies in Accounting.,3,3,0,Standard Letter,"Directed study and research on selected accounting topics, including the development of accounting thought and research in; advanced tax topics, international accounting, professional ethics and managerial and financial accounting. Courses will be offered as independent instruction. Prerequisite: Instructor approval."
25,Accounting (ACC),ACC 5370. Internship in Accounting.,3,0,2,Credit/No Credit,"Experiential learning during which the students work in accounting. This work experience may be in public, industry, or governmental accounting units. The student is immersed in a variety of intensive work assignments with increasing levels of responsibility. Students taking ACC 5370 for credit may not take ACC 5680 for credit. Prerequisite: Instructor approval."
26,Accounting (ACC),ACC 5372. Tax Research.,3,3,0,Standard Letter,"An examination of the sources of tax authority, which include its primary sources (legislative, judicial, and administrative), as well as secondary sources. The course also develops procedures for identifying the applicable tax issues, locating appropriate tax authority, and communicating the results of tax research. Prerequisites: ACC 3314 and ACC 4328 both with grades of ""B"" or better."
27,Accounting (ACC),ACC 5373. Fraud Examination.,3,3,0,Standard Letter,"An introduction to the theory and techniques used to prevent, detect, and solve occupational and financial fraud and corruption schemes.  Includes forensic accounting procedures, interviewing techniques, rules of evidence, documentary evidence gathering, report writing and other aspects of litigation support. Prerequisite: ACC 3305 or ACC 3313 with a grade of ""B"" or better."
28,Accounting (ACC),ACC 5375. Business Information Consulting.,3,3,0,Standard Letter,"Integrative capstone for the MSAIT program using principles and concepts applied through the analysis and presentation of case studies dealing with current issues or emerging trends in the fields of accounting and information technology for the accounting professionals serving as consultants. Prerequisite: ACC 3305 with a ""B"" or better."
29,Accounting (ACC),ACC 5377. Partnership Taxation.,3,3,0,Standard Letter,"A comprehensive study of the tax implications of conducting a business as a partnership or as a limited liability company. Life-cycle analysis and tax planning considerations are emphasized. Prerequisite: ACC 4328 with a grade of ""C"" or better."
